place,avg_mean_bad_scores,avg_std_deviation_bad_scores,avg_filter_n
p0,0.027347613333333336,0.021431029333333334,21.266666666666666
p1,0.03556505233333334,0.02638647233333333,10.633333333333333
p2,0.049672295666666665,0.030016996333333334,3.4166666666666665
p3,0.041013277,0.03660488466666667,5.166666666666667
p4,0.060161187000000005,0.057330844666666665,5.444444444333333
p5,0.049899069666666664,0.045710790333333334,4.5
p6,0.06217445566666666,0.060065965,6.833333333333333
p7,0.071485457,0.06513200466666667,4.555555555666667
p8,0.044446374000000004,0.034842513,5.555555555666667
p9,0.03118251666666667,0.023004117,9.333333333333334
